iter 770: loss 32.150716918418524, worst_drop 0.022556617970417636, total_drop_violation 0.036381780085064125, tsv_count 2851.25390625
iter 771: loss 28.662113082514562, worst_drop 0.02112389796834857, total_drop_violation 0.0035360707055167168, tsv_count 2830.8505859375
iter 772: loss 28.88994974130359, worst_drop 0.020538356765060217, total_drop_violation 0.001001719855662827, tsv_count 2878.977783203125
iter 773: loss 30.53123859798761, worst_drop 0.024159291460594257, total_drop_violation 0.02140125316737611, tsv_count 2839.111328125
iter 774: loss 29.345482456791036, worst_drop 0.021898640540522707, total_drop_violation 0.007798143507119333, tsv_count 2856.56689453125
iter 775: loss 28.557430267333984, worst_drop 0.019728109328002064, total_drop_violation 0.0, tsv_count 2855.7431640625
iter 776: loss 32.47736855904388, worst_drop 0.021919398256838418, total_drop_violation 0.038548710004501316, tsv_count 2862.249755859375
iter 777: loss 30.84726023283862, worst_drop 0.022479011678220084, total_drop_violation 0.023728778323259266, tsv_count 2847.438232421875
iter 778: loss 29.012496703688456, worst_drop 0.021875343147647275, total_drop_violation 0.005726926265400178, tsv_count 2843.98046875
iter 779: loss 37.29971343989794, worst_drop 0.02742614835635504, total_drop_violation 0.08791706390337395, tsv_count 2850.80078125
iter 780: loss 31.74149821706758, worst_drop 0.02477597196715553, total_drop_violation 0.03302468523464064, tsv_count 2843.903076171875
iter 781: loss 28.913131333701294, worst_drop 0.021719695316239296, total_drop_violation 0.003965335858985612, tsv_count 2851.659912109375
iter 782: loss 29.393745026916168, worst_drop 0.02171023259392424, total_drop_violation 0.008751827100216384, tsv_count 2851.856201171875
iter 783: loss 30.61513228043552, worst_drop 0.02272586962671741, total_drop_violation 0.0206837935074802, tsv_count 2854.67529296875
iter 784: loss 29.917260417906093, worst_drop 0.022539531816973546, total_drop_violation 0.014579842185652725, tsv_count 2845.927734375
iter 785: loss 28.736411998594882, worst_drop 0.021226495066999695, total_drop_violation 0.0024485964568960773, tsv_count 2849.1552734375
iter 786: loss 28.84107410113035, worst_drop 0.02131548595967081, total_drop_violation 0.002226468245190197, tsv_count 2861.8427734375
iter 787: loss 30.262666811609915, worst_drop 0.021965648586943054, total_drop_violation 0.019552117487437046, tsv_count 2830.74560546875
iter 788: loss 28.884323002147767, worst_drop 0.020898021404606726, total_drop_violation 0.0013307941083917224, tsv_count 2875.12451171875
iter 789: loss 28.41676519682793, worst_drop 0.020088329153337914, total_drop_violation 8.832915333791339e-05, tsv_count 2840.793212890625
iter 790: loss 32.000109655604916, worst_drop 0.02474291111183513, total_drop_violation 0.03625550253139098, tsv_count 2837.4560546875
iter 791: loss 30.86168689937137, worst_drop 0.02233617943693278, total_drop_violation 0.021082231542541848, tsv_count 2875.346435546875
iter 792: loss 28.51306642970431, worst_drop 0.020399621690896486, total_drop_violation 0.0011724199733126259, tsv_count 2839.58251953125
iter 793: loss 29.40164804357232, worst_drop 0.022434118489102373, total_drop_violation 0.00829842089592826, tsv_count 2857.1806640625
iter 794: loss 29.33145614960997, worst_drop 0.022012348571437745, total_drop_violation 0.009696607241949314, tsv_count 2836.1796875
iter 795: loss 28.555504397922746, worst_drop 0.020203782784465885, total_drop_violation 0.0006148965793251124, tsv_count 2849.401611328125
iter 796: loss 30.774027503057027, worst_drop 0.022312175195584483, total_drop_violation 0.022806402807669903, tsv_count 2849.3388671875
iter 797: loss 28.500311428941643, worst_drop 0.020665360675053646, total_drop_violation 0.0024679618541136976, tsv_count 2825.3515625
iter 798: loss 28.706822300443847, worst_drop 0.021122082966001154, total_drop_violation 0.002140759472944318, tsv_count 2849.274658203125
iter 799: loss 28.775167105772137, worst_drop 0.021095559960502497, total_drop_violation 0.004380317908307313, tsv_count 2833.713623046875
iter 800: loss 28.42827273305482, worst_drop 0.020212876248769884, total_drop_violation 0.000582413762432947, tsv_count 2837.003173828125
iter 801: loss 28.349815908044366, worst_drop 0.020279808938850064, total_drop_violation 0.0010507065352776575, tsv_count 2824.474609375
iter 802: loss 31.77895099688127, worst_drop 0.02409807023890287, total_drop_violation 0.03603394814019944, tsv_count 2817.5556640625
iter 803: loss 28.529393031939115, worst_drop 0.020202357328823806, total_drop_violation 0.00026463344439114564, tsv_count 2850.29296875
iter 804: loss 28.810563316748894, worst_drop 0.0216820008788271, total_drop_violation 0.00591725578711785, tsv_count 2821.8837890625
iter 805: loss 28.921539359834075, worst_drop 0.021546631290534357, total_drop_violation 0.007540360029004826, tsv_count 2816.75048828125
iter 806: loss 28.70497055607568, worst_drop 0.021068250382470066, total_drop_violation 0.004970218713832967, tsv_count 2820.794921875
iter 807: loss 28.348763404642686, worst_drop 0.020034761894710984, total_drop_violation 6.108222757920251e-05, tsv_count 2834.265625
iter 808: loss 29.00625174646678, worst_drop 0.021743101117825625, total_drop_violation 0.007096952736884619, tsv_count 2829.65576171875
iter 809: loss 28.372497504411896, worst_drop 0.020821270731619435, total_drop_violation 0.001371325904714664, tsv_count 2823.53662109375
iter 810: loss 28.375921853911514, worst_drop 0.021484166996256437, total_drop_violation 0.0035323775662147623, tsv_count 2802.2685546875
iter 811: loss 31.994296097769112, worst_drop 0.02383672613284049, total_drop_violation 0.03681565308584542, tsv_count 2831.273193359375
iter 812: loss 28.366477503218483, worst_drop 0.020235785884271773, total_drop_violation 0.00044066919722390505, tsv_count 2832.2412109375
iter 813: loss 30.64484570017931, worst_drop 0.02436167646625431, total_drop_violation 0.025648267029869276, tsv_count 2808.001953125
iter 814: loss 29.658508325177117, worst_drop 0.02309202417869083, total_drop_violation 0.013302040344056323, tsv_count 2832.83056640625
